iter	RMSE
0	1.378348341
1	1.302738518
2	1.266776359
3	1.244734328
4	1.228190611
5	1.213747855
6	1.20463279
7	1.1990841
8	1.187629955
9	1.180564999
10	1.174863593
11	1.169403404
12	1.166666933
13	1.161061505
14	1.15437
15	1.150548032
16	1.146519132
17	1.142255051
18	1.137843506
19	1.135972494
20	1.132794422
21	1.130965673
22	1.128261314
23	1.125525512
24	1.12406737
25	1.121395607
26	1.118925759
27	1.115364561
28	1.112843987
29	1.110286766
30	1.10912643
31	1.107312646
32	1.104955138
33	1.103338434
34	1.101499049
35	1.099713218
36	1.098783578
37	1.09756478
38	1.095447822
39	1.093502629
40	1.091580672
41	1.089735759
42	1.089064467
43	1.087976689
44	1.086314817
45	1.085183893
46	1.083874134
47	1.082417973
48	1.0803721
49	1.079059754
50	1.077586408
51	1.076088654
52	1.074305174
53	1.072755458
54	1.0716731
55	1.0706577
56	1.069698462
57	1.069265692
58	1.068729039
59	1.067608073
60	1.066030146
61	1.065187464
62	1.064003884
63	1.063456017
64	1.062227061
65	1.061643025
66	1.060582925
67	1.059548733
68	1.058426712
69	1.057412454
70	1.056634575
71	1.055477037
72	1.054802113
73	1.053718249
74	1.052615829
75	1.051382421
76	1.050549362
77	1.04982826
78	1.048957527
79	1.047889176
80	1.04743465
81	1.046443599
82	1.045484514
83	1.044762993
84	1.044278186
85	1.043428307
86	1.042897866
87	1.042256314
88	1.041088228
89	1.040634731
90	1.03997265
91	1.039322615
92	1.03872609
93	1.038248634
94	1.037538945
95	1.036748426
96	1.036000068
97	1.035324861
98	1.034781387
99	1.034356779
