iter	Passed	Remaining
0	158	15719
1	320	15727
2	486	15738
3	640	15369
4	784	14906
5	949	14871
6	1110	14748
7	1240	14261
8	1409	14255
9	1564	14082
10	1706	13806
11	1863	13666
12	2001	13392
13	2165	13301
14	2313	13109
15	2474	12989
16	2646	12923
17	2829	12890
18	2996	12776
19	3148	12593
20	3300	12415
21	3433	12171
22	3598	12046
23	3754	11889
24	3885	11657
25	4040	11498
26	4193	11337
27	4353	11194
28	4539	11112
29	4704	10976
30	4857	10812
31	5005	10637
32	5194	10546
33	5360	10405
34	5516	10245
35	5710	10152
36	5851	9963
37	5997	9785
38	6190	9682
39	6354	9531
40	6538	9409
41	6745	9314
42	6890	9133
43	7043	8963
44	7226	8832
45	7400	8687
46	7593	8562
47	7762	8409
48	7932	8256
49	8089	8089
50	8246	7922
51	8400	7754
52	8571	7601
53	8732	7439
54	8882	7267
55	9023	7089
56	9164	6913
57	9285	6724
58	9413	6541
59	9573	6382
60	9748	6232
61	9890	6061
62	10035	5894
63	10169	5720
64	10324	5559
65	10459	5388
66	10615	5228
67	10771	5068
68	10940	4915
69	11099	4757
70	11238	4590
71	11380	4425
72	11520	4261
73	11691	4107
74	11885	3961
75	12056	3807
76	12201	3644
77	12352	3484
78	12511	3325
79	12662	3165
80	12801	3002
81	12954	2843
82	13132	2689
83	13284	2530
84	13431	2370
85	13595	2213
86	13748	2054
87	13892	1894
88	14060	1737
89	14198	1577
90	14347	1419
91	14494	1260
92	14629	1101
93	14776	943
94	14937	786
95	15081	628
96	15234	471
97	15376	313
98	15523	156
99	15658	0
